ID,States,GOP,Name,Gender,Age,Assumed Office,Seniority,Seat Up,Ideology(voteview.com),Twitter Account
52,California,0,Dianne Feinstein,F,85,10-Nov-92,25,2018,-0.267,"""SenFeinstein"""
53,Connecticut,0,Chris Murphy,M,44,3-Jan-13,5,2018,-0.308,"""ChrisMurphyCT"""
54,Delaware,0,Tom Carper,M,71,3-Jan-01,17,2018,-0.173,"""SenatorCarper"""
55,Florida,0,Bill Nelson,M,75,3-Jan-01,7,2018,-0.193,"""senbillnelson"""
56,Hawaii,0,Mazie Hirono,F,70,3-Jan-13,5,2018,-0.49,"""maziehirono"""
57,Indiana,0,Joe Donnelly,M,62,3-Jan-13,5,2018,-0.119,"""SenDonnelly"""
58,Maryland,0,Ben Cardin,M,74,3-Jan-07,11,2018,-0.327,"""SenatorCardin"""
59,Massachusetts,0,Elizabeth Warren,F,69,3-Jan-13,5,2018,-0.778,"""SenWarren"""
60,Michigan,0,Debbie Stabenow,F,68,3-Jan-01,17,2018,-0.328,"""SenStabenow"""
61,Minnesota,0,Amy Klobuchar,F,58,3-Jan-07,11,2018,-0.244,"""amyklobuchar"""
62,Minnesota,0,Tina Smith[e],F,60,3-Jan-18,10,2018,-0.345,"""SenTinaSmith"""
63,Missouri,0,Claire McCaskill,F,64,3-Jan-07,11,2018,-0.144,"""clairecmc"""
64,Montana,0,Jon Tester,M,61,3-Jan-07,11,2018,-0.213,"""SenatorTester"""
65,New Jersey,0,Bob Menendez,M,64,18-Jan-06,12,2018,-0.362,"""SenatorMenendez"""
66,New Mexico,0,Martin Heinrich,M,46,3-Jan-13,5,2018,-0.297,"""MartinHeinrich"""
67,New York,0,Kirsten Gillibrand,F,51,26-Jan-09,9,2018,-0.4,"""SenGillibrand"""
68,Ohio,0,Sherrod Brown,M,65,3-Jan-07,11,2018,-0.438,"""SenSherrodBrown"""
69,Pennsylvania,0,Bob Casey Jr.,M,58,3-Jan-07,11,2018,-0.303,"""SenBobCasey"""
70,Rhode Island,0,Sheldon Whitehouse,M,62,3-Jan-07,11,2018,-0.401,"""SenWhitehouse"""
71,Vermont,0,Bernie Sanders,M,76,3-Jan-07,11,2018,-0.519,"""SenatorSanders"""
72,Virginia,0,Tim Kaine,M,60,3-Jan-13,5,2018,-0.233,"""timkaine"""
73,Washington,0,Maria Cantwell,F,59,3-Jan-01,17,2018,-0.292,"""SenatorCantwell"""
74,West Virginia,0,Joe Manchin,M,70,15-Nov-10,7,2018,-0.057,"""Sen_JoeManchin"""
75,Alabama,0,Doug Jones[d],M,64,3-Jan-18,0,2020,-0.145,"""SenDougJones"""
76,Delaware,0,Chris Coons,M,54,15-Nov-10,7,2020,-0.246,"""ChrisCoons"""
77,Illinois,0,Dick Durbin,M,73,3-Jan-97,21,2020,-0.362,"""SenatorDurbin ‏"""
78,Maine,0,Susan Collins,F,65,3-Jan-97,21,2020,0.11,"""SenatorCollins"""
79,Massachusetts,0,Ed Markey,M,71,16-Jul-13,5,2020,-0.503,"""senmarkey"""
80,Michigan,0,Gary Peters,M,59,3-Jan-15,3,2020,0.236,"""SenGaryPeters"""
81,New Hampshire,0,Jeanne Shaheen,F,71,3-Jan-09,9,2020,-0.257,"""SenatorShaheen"""
82,New Jersey,0,Cory Booker,M,49,31-Oct-13,4,2020,-0.616,"""CoryBooker"""
83,New Mexico,0,Tom Udall,M,70,3-Jan-09,9,2020,-0.453,"""SenatorTomUdall"""
84,Oregon,0,Jeff Merkley,M,61,3-Jan-09,9,2020,-0.48,"""SenJeffMerkley"""
85,Rhode Island,0,Jack Reed,M,68,3-Jan-97,21,2020,-0.382,"""SenJackReed"""
86,Virginia,0,Mark Warner,M,63,3-Jan-09,9,2020,-0.193,"""MarkWarner"""
87,California,0,Kamala Harris,F,53,3-Jan-17,1,2022,-0.698,"""KamalaHarris"""
88,Colorado,0,Michael Bennet,M,53,22-Jan-09,9,2022,-0.207,"""SenBennetCO"""
89,Connecticut,0,Richard Blumenthal,M,72,3-Jan-11,7,2022,-0.421,"""SenBlumenthal"""
90,Hawaii,0,Brian Schatz,M,45,26-Dec-12,7,2022,-0.402,"""brianschatz"""
91,Illinois,0,Tammy Duckworth,F,50,3-Jan-17,1,2022,-0.316,"""SenDuckworth"""
92,Maryland,0,Chris Van Hollen,M,59,3-Jan-17,1,2022,-0.395,"""ChrisVanHollen"""
93,Nevada,0,Catherine Cortez Masto,M,54,3-Jan-17,1,2022,-0.385,"""SenCortezMasto"""
94,New Hampshire,0,Maggie Hassan,F,60,3-Jan-17,1,2022,-0.263,"""SenatorHassan"""
95,New York,0,Chuck Schumer,M,67,3-Jan-99,19,2022,-0.351,"""SenSchumer"""
96,North Dakota,0,John Hoeven,M,61,3-Jan-11,7,2022,0.34,"""SenJohnHoeven"""
97,Oregon,0,Ron Wyden,M,69,6-Feb-96,23,2022,-0.32,"""RonWyden"""
98,Vermont,0,Patrick Leahy,M,78,3-Jan-75,43,2022,-0.371,"""SenatorLeahy"""
99,Washington,0,Patty Murray,F,67,3-Jan-93,25,2022,-0.343,"""PattyMurray"""
100,Wisconsin,0,Ron Johnson,M,63,3-Jan-11,7,2022,0.599,"""SenRonJohnson"""
